iter	Passed	Remaining
0	0	93
1	1	87
2	2	84
3	3	80
4	4	79
5	5	81
6	6	80
7	6	79
8	7	78
9	8	77
10	9	76
11	10	75
12	11	74
13	11	73
14	12	72
15	13	71
16	14	70
17	15	69
18	16	68
19	17	68
20	17	67
21	18	66
22	19	65
23	20	65
24	21	64
25	22	63
26	23	62
27	24	61
28	24	60
29	25	60
30	26	59
31	27	59
32	28	58
33	29	58
34	30	57
35	31	56
36	32	56
37	33	55
38	34	54
39	35	53
40	36	52
41	37	51
42	38	50
43	39	49
44	39	48
45	40	47
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	42
53	48	41
54	48	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	27
69	63	27
70	64	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
